Date,Description,Amount,Transaction Type,Category,Day of Week,Month,Acct_Checking,Acct_Platinum Card,Acct_Silver Card,Category_label,Amount_scaled
2018-02-14,Brewing Company,14.0,1,Alcohol & Bars,2,2,0,0,1,0,-0.5059766797393064
2018-02-15,American Tavern,10.0,1,Restaurants,3,2,0,1,0,18,-0.526399071821744
2018-02-15,Power Company,60.0,1,Utilities,3,2,1,0,0,21,-0.27111917079127473
2018-02-16,Biweekly Paycheck,2000.0,0,Paycheck,4,2,1,0,0,17,9.633740989190928
2018-02-16,Brunch Restaurant,8.0,1,Restaurants,4,2,0,0,1,18,-0.5366102678629626
2018-02-16,City Water Charges,35.0,1,Utilities,4,2,1,0,0,21,-0.3987591213065093
2018-02-20,Grocery Store,35.95,1,Groceries,1,2,0,0,1,9,-0.3939088031869304
2018-02-20,Mexican Restaurant,23.51,1,Restaurants,1,2,0,0,1,18,-0.4574224425633111
2018-02-21,Starbucks,2.0,1,Coffee Shops,2,2,0,1,0,2,-0.567243855986619
2018-02-22,Starbucks,4.0,1,Coffee Shops,3,2,0,0,1,2,-0.5570326599454002
2018-02-26,Credit Card Payment,765.37,0,Credit Card Payment,0,2,0,1,0,3,3.3302165050059656
2018-02-26,Credit Card Payment,156.11,0,Credit Card Payment,0,2,0,0,1,3,0.21957985496949312
2018-02-26,Credit Card Payment,765.37,1,Credit Card Payment,0,2,1,0,0,3,3.3302165050059656
2018-02-26,Internet Service Provider,74.99,1,Internet,0,2,1,0,0,12,-0.19458625646234012
2018-02-26,American Tavern,85.52,1,Restaurants,0,2,0,0,1,18,-0.1408243093053233
2018-02-26,Gas Station,32.21,1,Gas & Fuel,0,2,0,0,1,8,-0.4130037397840095
2018-02-27,Credit Card Payment,156.11,1,Credit Card Payment,1,2,1,0,0,3,0.21957985496949312
2018-03-01,Grocery Store,32.07,1,Groceries,3,3,0,0,1,9,-0.41371852350689475
2018-03-01,Amazon,13.13,1,Shopping,3,3,0,1,0,19,-0.5104185500172366
2018-03-02,Mortgage Payment,1247.44,1,Mortgage & Rent,4,3,1,0,0,14,5.791472142801131
2018-03-02,Biweekly Paycheck,2000.0,0,Paycheck,4,3,1,0,0,17,9.633740989190928
2018-03-03,Grocery Store,23.74,1,Groceries,5,3,0,0,1,9,-0.456248155018571
2018-03-04,Grocery Store,10.69,1,Groceries,6,3,0,1,0,9,-0.5228762091875234
2018-03-04,Netflix,11.76,1,Movies & DVDs,6,3,0,1,0,15,-0.5174132193054714
2018-03-04,BBQ Restaurant,42.24,1,Restaurants,6,3,0,1,0,18,-0.36179459163729744
2018-03-05,Starbucks,3.0,1,Coffee Shops,0,3,0,1,0,2,-0.5621382579660096
2018-03-05,Credit Card Payment,761.59,0,Credit Card Payment,0,3,0,0,1,3,3.3109173444880624
2018-03-05,Credit Card Payment,761.59,1,Credit Card Payment,0,3,1,0,0,3,3.3109173444880624
2018-03-07,Starbucks,3.5,1,Coffee Shops,2,3,0,1,0,2,-0.5595854589557049
2018-03-08,BP,34.9,1,Gas & Fuel,3,3,0,1,0,8,-0.3992696811085703
2018-03-08,Gas Company,52.0,1,Utilities,3,3,1,0,0,21,-0.3119639549561498
2018-03-09,Grocery Store,20.72,1,Groceries,4,3,0,1,0,9,-0.4716670610408113
2018-03-09,Grocery Store,5.09,1,Groceries,4,3,0,1,0,9,-0.5514675581029359
2018-03-09,Spotify,10.69,1,Music,4,3,0,1,0,16,-0.5228762091875234
2018-03-12,Grocery Store,19.35,1,Groceries,0,3,0,1,0,9,-0.47866173032904613
2018-03-12,Phone Company,89.52,1,Mobile Phone,0,3,1,0,0,13,-0.12040191722288578
2018-03-13,Amazon,45.75,1,Shopping,1,3,0,1,0,19,-0.34387394258495846
2018-03-14,Grocery Store,22.5,1,Groceries,2,3,0,1,0,9,-0.4625790965641266
2018-03-14,Brunch Restaurant,8.49,1,Restaurants,2,3,0,1,0,18,-0.5341085248328641
2018-03-15,Starbucks,3.5,1,Coffee Shops,3,3,0,1,0,2,-0.5595854589557049
2018-03-15,Power Company,60.0,1,Utilities,3,3,1,0,0,21,-0.27111917079127473
2018-03-16,Biweekly Paycheck,2000.0,0,Paycheck,4,3,1,0,0,17,9.633740989190928
2018-03-17,Brewing Company,19.5,1,Alcohol & Bars,5,3,0,0,1,0,-0.4778958906259548
2018-03-17,Pizza Place,23.34,1,Fast Food,5,3,0,1,0,6,-0.4582903942268147
2018-03-19,Mediterranean Restaurant,36.48,1,Restaurants,0,3,0,0,1,18,-0.39120283623600743
2018-03-19,City Water Charges,35.0,1,Utilities,0,3,1,0,0,21,-0.3987591213065093
2018-03-20,Amazon,14.97,1,Shopping,1,3,0,1,0,19,-0.5010242496593152
2018-03-22,BP,30.55,1,Gas & Fuel,3,3,0,0,1,8,-0.4214790324982211
2018-03-23,Credit Card Payment,559.91,0,Credit Card Payment,4,3,0,1,0,3,2.281220335691562
2018-03-23,Credit Card Payment,559.91,1,Credit Card Payment,4,3,1,0,0,3,2.281220335691562
2018-03-23,Grocery Store,11.76,1,Groceries,4,3,0,0,1,9,-0.5174132193054714
2018-03-26,Internet Service Provider,74.99,1,Internet,0,3,1,0,0,12,-0.19458625646234012
2018-03-28,Grocery Store,16.06,1,Groceries,2,3,0,0,1,9,-0.495459147816851
2018-03-28,Pizza Place,24.98,1,Restaurants,2,3,0,0,1,18,-0.44991721347301533
2018-03-29,Steakhouse,17.64,1,Restaurants,3,3,0,0,1,18,-0.4873923029442882
2018-03-30,Grocery Store,9.09,1,Groceries,4,3,0,0,1,9,-0.5310451660204984
2018-03-30,Biweekly Paycheck,2000.0,0,Paycheck,4,3,1,0,0,17,9.633740989190928
2018-03-31,Belgian Restaurant,38.32,1,Restaurants,5,3,0,1,0,18,-0.3818085358780861
2018-03-31,Chili's,24.74,1,Restaurants,5,3,0,1,0,18,-0.45114255699796163
2018-03-31,Greek Restaurant,41.16,1,Restaurants,5,3,0,0,1,18,-0.36730863749955556
2018-04-01,Grocery Store,80.79,1,Groceries,6,4,0,1,0,9,-0.16497378794280565
2018-04-01,Brewing Company,59.48,1,Restaurants,6,4,0,1,0,18,-0.27377408176199164
2018-04-01,Amazon,13.13,1,Shopping,6,4,0,1,0,19,-0.5104185500172366
2018-04-02,Credit Card Payment,817.14,0,Credit Card Payment,0,4,0,0,1,3,3.5945333145329132
2018-04-02,Credit Card Payment,817.14,1,Credit Card Payment,0,4,1,0,0,3,3.5945333145329132
2018-04-02,Grocery Store,82.36,1,Groceries,0,4,0,1,0,9,-0.15695799905044894
2018-04-02,Hardware Store,13.89,1,Home Improvement,0,4,0,1,0,11,-0.5065382955215734
2018-04-02,Mortgage Payment,1247.44,1,Mortgage & Rent,0,4,1,0,0,14,5.791472142801131
2018-04-03,Amazon Video,6.41,1,Movies & DVDs,1,4,0,1,0,15,-0.5447281687157316
2018-04-04,Credit Card Payment,363.08,0,Credit Card Payment,2,4,0,1,0,3,1.276285477295017
2018-04-04,Credit Card Payment,363.08,1,Credit Card Payment,2,4,1,0,0,3,1.276285477295017
2018-04-04,Netflix,11.76,1,Movies & DVDs,2,4,0,1,0,15,-0.5174132193054714
2018-04-06,Chevron,4.58,1,Gas & Fuel,4,4,0,1,0,8,-0.5540714130934468
2018-04-06,Tiny Deli,9.76,1,Restaurants,4,4,0,1,0,18,-0.5276244153466901
2018-04-08,Irish Pub,22.0,1,Restaurants,6,4,0,1,0,18,-0.4651318955744313
2018-04-09,Blue Sky Market,6.48,1,Groceries,0,4,0,0,1,9,-0.5443707768542889
2018-04-09,Spotify,10.69,1,Music,0,4,0,1,0,16,-0.5228762091875234
2018-04-09,Gas Company,30.0,1,Utilities,0,4,1,0,0,21,-0.4242871114095562
2018-04-11,Phone Company,89.52,1,Mobile Phone,2,4,1,0,0,13,-0.12040191722288578
2018-04-12,Starbucks,7.0,1,Coffee Shops,3,4,0,1,0,2,-0.541715865883572
2018-04-12,Barbershop,30.0,1,Haircut,3,4,0,1,0,10,-0.4242871114095562
2018-04-13,BP,37.98,1,Gas & Fuel,4,4,0,1,0,8,-0.38354443920509335
2018-04-13,Biweekly Paycheck,2000.0,0,Paycheck,4,4,1,0,0,17,9.633740989190928
2018-04-13,American Tavern,10.66,1,Restaurants,4,4,0,1,0,18,-0.5230293771281417
2018-04-14,Hardware Store,11.61,1,Home Improvement,5,4,0,1,0,11,-0.5181790590085628
2018-04-14,American Tavern,41.0,1,Restaurants,5,4,0,1,0,18,-0.368125533182853
2018-04-16,State Farm,75.0,1,Auto Insurance,0,4,1,0,0,1,-0.194535200482134
2018-04-16,City Water Charges,35.0,1,Utilities,0,4,1,0,0,21,-0.3987591213065093
2018-04-18,Power Company,60.0,1,Utilities,2,4,1,0,0,21,-0.27111917079127473
2018-04-20,Thai Restaurant,24.22,1,Restaurants,4,4,0,0,1,18,-0.4537974679686785
2018-04-21,Grocery Store,4.32,1,Groceries,5,4,0,0,1,9,-0.5553988685788052
2018-04-21,American Tavern,35.15,1,Restaurants,5,4,0,0,1,18,-0.39799328160341796
2018-04-22,Grocery Store,21.32,1,Groceries,6,4,0,1,0,9,-0.46860370222844566
2018-04-23,Hardware Store,42.7,1,Home Improvement,0,4,0,0,1,11,-0.35944601654781705
2018-04-24,Hardware Store,224.7,1,Home Improvement,1,4,0,1,0,11,0.5697728232030905
2018-04-24,Amazon,41.34,1,Shopping,1,4,0,1,0,19,-0.36638962985584583
2018-04-25,Hardware Store,210.79,1,Home Improvement,2,4,0,0,1,11,0.4987539547364141
2018-04-25,Internet Service Provider,74.99,1,Internet,2,4,1,0,0,12,-0.19458625646234012
2018-04-26,Credit Card Payment,769.72,0,Credit Card Payment,3,4,0,0,1,3,3.3524258563956164
2018-04-26,Credit Card Payment,1216.94,0,Credit Card Payment,3,4,0,1,0,3,5.635751403172545
2018-04-26,Credit Card Payment,1216.94,1,Credit Card Payment,3,4,1,0,0,3,5.635751403172545
2018-04-27,Credit Card Payment,769.72,1,Credit Card Payment,4,4,1,0,0,3,3.3524258563956164
2018-04-27,Biweekly Paycheck,2000.0,0,Paycheck,4,4,1,0,0,17,9.633740989190928
2018-04-28,Grocery Store,22.98,1,Groceries,5,4,0,0,1,9,-0.46012840951423406
2018-04-29,QuikTrip,39.0,1,Gas & Fuel,6,4,0,1,0,8,-0.3783367292240718
2018-04-29,Grocery Store,51.05,1,Groceries,6,4,0,1,0,9,-0.31681427307572874
2018-04-29,Hardware Store,68.47,1,Home Improvement,6,4,0,1,0,11,-0.22787475555671327
2018-04-30,Grocery Store,5.09,1,Groceries,0,4,0,1,0,9,-0.5514675581029359
2018-05-01,Amazon,13.13,1,Shopping,1,5,0,1,0,19,-0.5104185500172366
2018-05-02,Mortgage Payment,1247.44,1,Mortgage & Rent,2,5,1,0,0,14,5.791472142801131
2018-05-03,Amazon,49.72,1,Shopping,3,5,0,1,0,19,-0.3236047184431392
2018-05-04,Grocery Store,42.23,1,Groceries,4,5,0,1,0,9,-0.36184564761750343
2018-05-04,Netflix,11.76,1,Movies & DVDs,4,5,0,1,0,15,-0.5174132193054714
2018-05-05,Bojangles,7.27,1,Fast Food,5,5,0,1,0,6,-0.5403373544180076
2018-05-05,Pizza Place,20.52,1,Fast Food,5,5,0,1,0,6,-0.4726881806449332
2018-05-06,Hardware Store,22.37,1,Home Improvement,6,5,0,1,0,11,-0.4632428243068058
2018-05-06,Amazon,117.69,1,Shopping,6,5,0,1,0,19,0.023422779017680553
2018-05-09,Credit Card Payment,601.4,0,Credit Card Payment,2,5,0,1,0,3,2.493051597566645
2018-05-09,Credit Card Payment,601.4,1,Credit Card Payment,2,5,1,0,0,3,2.493051597566645
2018-05-09,Spotify,10.69,1,Music,2,5,0,1,0,16,-0.5228762091875234
2018-05-09,Gas Company,30.0,1,Utilities,2,5,1,0,0,21,-0.4242871114095562
2018-05-10,Phone Company,111.18,1,Mobile Phone,3,5,1,0,0,13,-0.009814664096486484
2018-05-11,Grocery Store,57.32,1,Groceries,4,5,0,1,0,9,-0.2848021734865079
2018-05-11,Biweekly Paycheck,2000.0,0,Paycheck,4,5,1,0,0,17,9.633740989190928
2018-05-11,Mike's Construction Co.,8000.0,1,Home Improvement,4,5,1,0,0,11,40.26732911284722
2018-05-12,Liquor Store,27.77,1,Alcohol & Bars,5,5,0,1,0,0,-0.4356725949955152
2018-05-12,Shell,33.3,1,Gas & Fuel,5,5,0,1,0,8,-0.4074386379415453
2018-05-12,Fancy Restaurant,78.0,1,Restaurants,5,5,0,1,0,18,-0.17921840642030584
2018-05-14,Grocery Store,67.63,1,Groceries,0,5,0,0,1,9,-0.23216345789402518
2018-05-15,Power Company,60.0,1,Utilities,1,5,1,0,0,21,-0.27111917079127473
2018-05-17,Barbershop,29.0,1,Haircut,3,5,0,0,1,10,-0.4293927094301656
2018-05-17,City Water Charges,35.0,1,Utilities,3,5,1,0,0,21,-0.3987591213065093
2018-05-18,State Farm,75.0,1,Auto Insurance,4,5,1,0,0,1,-0.194535200482134
2018-05-18,Amazon,6.41,1,Shopping,4,5,0,1,0,19,-0.5447281687157316
2018-05-19,Credit Card Payment,207.08,0,Credit Card Payment,5,5,0,1,0,3,0.47981218607995335
2018-05-19,Grocery Store,31.0,1,Groceries,5,5,0,0,1,9,-0.4191815133889468
2018-05-19,Greek Restaurant,23.26,1,Restaurants,5,5,0,0,1,18,-0.45869884206846345
2018-05-21,Credit Card Payment,283.07,0,Credit Card Payment,0,5,0,0,1,3,0.8677865796660603
2018-05-21,Thai Restaurant,26.04,1,Restaurants,0,5,0,0,1,18,-0.44450527957116936
2018-05-21,Amazon,32.5,1,Shopping,0,5,0,1,0,19,-0.4115231163580328
2018-05-22,Credit Card Payment,283.07,1,Credit Card Payment,1,5,1,0,0,3,0.8677865796660603
2018-05-24,BP,39.44,1,Gas & Fuel,3,5,0,0,1,8,-0.3760902660950037
2018-05-25,Internet Service Provider,74.99,1,Internet,4,5,1,0,0,12,-0.19458625646234012
2018-05-25,Biweekly Paycheck,2000.0,0,Paycheck,4,5,1,0,0,17,9.633740989190928
2018-05-28,Movie Theater,9.62,1,Entertainment,0,5,0,0,1,5,-0.5283391990695754
2018-05-28,Grocery Store,91.03,1,Groceries,0,5,0,0,1,9,-0.11269246421176558
2018-05-29,Movie Theater,20.0,1,Movies & DVDs,1,5,0,0,1,15,-0.4753430916156501
2018-05-29,Movie Theater,6.25,1,Movies & DVDs,1,5,0,0,1,15,-0.5455450643990291
2018-06-01,BP,38.63,1,Gas & Fuel,4,6,0,1,0,8,-0.3802258004916972
2018-06-01,Grocery Store,6.11,1,Groceries,4,6,0,1,0,9,-0.5462598481219144
2018-06-01,Amazon,13.13,1,Shopping,4,6,0,1,0,19,-0.5104185500172366
2018-06-02,Credit Card Payment,235.18,0,Credit Card Payment,5,6,0,0,1,3,0.623279490459077
2018-06-02,Credit Card Payment,466.36,0,Credit Card Payment,5,6,0,1,0,3,1.8035916408635542
2018-06-03,Italian Restaurant,65.81,1,Restaurants,6,6,0,1,0,18,-0.2414556462915342
2018-06-04,Credit Card Payment,235.18,1,Credit Card Payment,0,6,1,0,0,3,0.623279490459077
2018-06-04,Grocery Store,24.12,1,Groceries,0,6,0,1,0,9,-0.45430802777073936
2018-06-04,Mortgage Payment,1247.44,1,Mortgage & Rent,0,6,1,0,0,14,5.791472142801131
2018-06-04,Netflix,11.76,1,Movies & DVDs,0,6,0,1,0,15,-0.5174132193054714
2018-06-06,Starbucks,4.0,1,Coffee Shops,2,6,0,1,0,2,-0.5570326599454002
2018-06-08,Biweekly Paycheck,2000.0,0,Paycheck,4,6,1,0,0,17,9.633740989190928
2018-06-08,Gas Company,30.0,1,Utilities,4,6,1,0,0,21,-0.4242871114095562
2018-06-09,Chick-Fil-A,16.18,1,Fast Food,5,6,0,1,0,6,-0.4948464760543779
2018-06-09,Grocery Store,9.56,1,Groceries,5,6,0,1,0,9,-0.528645534950812
2018-06-09,Spotify,10.69,1,Music,5,6,0,1,0,16,-0.5228762091875234
2018-06-10,Grocery Store,46.01,1,Groceries,6,6,0,1,0,9,-0.3425464870996
2018-06-12,Grocery Store,12.55,1,Groceries,1,6,0,1,0,9,-0.51337979686919
2018-06-12,Phone Company,89.46,1,Mobile Phone,1,6,1,0,0,13,-0.12070825310412235
2018-06-14,Credit Card Payment,283.44,0,Credit Card Payment,3,6,0,1,0,3,0.8696756509336858
2018-06-14,Credit Card Payment,283.44,1,Credit Card Payment,3,6,1,0,0,3,0.8696756509336858
2018-06-14,Grocery Store,7.02,1,Groceries,3,6,0,1,0,9,-0.5416137539231599
2018-06-15,Power Company,60.0,1,Utilities,4,6,1,0,0,21,-0.27111917079127473
2018-06-16,Starbucks,3.0,1,Coffee Shops,5,6,0,1,0,2,-0.5621382579660096
2018-06-16,Pizza Place,22.66,1,Fast Food,5,6,0,1,0,6,-0.46176220088082914
2018-06-16,Grocery Store,13.9,1,Groceries,5,6,0,1,0,9,-0.5064872395413673
2018-06-18,City Water Charges,35.0,1,Utilities,0,6,1,0,0,21,-0.3987591213065093
2018-06-19,Shell,38.52,1,Gas & Fuel,1,6,0,1,0,8,-0.3807874162739643
2018-06-19,Grocery Store,2.69,1,Groceries,1,6,0,1,0,9,-0.5637209933523984
2018-06-20,State Farm,75.0,1,Auto Insurance,2,6,1,0,0,1,-0.194535200482134
2018-06-20,Credit Card Payment,89.45,0,Credit Card Payment,2,6,0,0,1,3,-0.1207593090843284
2018-06-20,Barbershop,30.0,1,Haircut,2,6,0,0,1,10,-0.4242871114095562
2018-06-21,Credit Card Payment,89.45,1,Credit Card Payment,3,6,1,0,0,3,-0.1207593090843284
2018-06-22,Biweekly Paycheck,2000.0,0,Paycheck,4,6,1,0,0,17,9.633740989190928
2018-06-23,Brunch Restaurant,8.5,1,Restaurants,5,6,0,0,1,18,-0.5340574688526579
2018-06-23,Amazon,74.97,1,Shopping,5,6,0,1,0,19,-0.19468836842275228
2018-06-25,Credit Card Payment,942.76,0,Credit Card Payment,0,6,0,1,0,3,4.235898537881864
2018-06-25,Credit Card Payment,942.76,1,Credit Card Payment,0,6,1,0,0,3,4.235898537881864
2018-06-25,Internet Service Provider,74.99,1,Internet,0,6,1,0,0,12,-0.19458625646234012
2018-06-26,Grocery Store,9.62,1,Groceries,1,6,0,0,1,9,-0.5283391990695754
2018-06-27,Starbucks,3.5,1,Coffee Shops,2,6,0,0,1,2,-0.5595854589557049
2018-06-27,Pizza Place,22.66,1,Fast Food,2,6,0,1,0,6,-0.46176220088082914
2018-06-28,Grocery Store,7.57,1,Groceries,3,6,0,0,1,9,-0.5388056750118246
2018-07-01,Amazon,13.13,1,Shopping,6,7,0,1,0,19,-0.5104185500172366
2018-07-02,Mortgage Payment,1247.44,1,Mortgage & Rent,0,7,1,0,0,14,5.791472142801131
2018-07-02,Movie Theater,25.0,1,Movies & DVDs,0,7,0,0,1,15,-0.4498151015126031
2018-07-02,American Tavern,36.44,1,Restaurants,0,7,0,0,1,18,-0.3914070601568318
2018-07-04,BP,34.48,1,Gas & Fuel,2,7,0,0,1,8,-0.40141403227722616
2018-07-04,Netflix,11.76,1,Movies & DVDs,2,7,0,1,0,15,-0.5174132193054714
2018-07-05,Grocery Store,44.25,1,Groceries,3,7,0,0,1,9,-0.35153233961587255
2018-07-05,Amazon,212.32,1,Shopping,3,7,0,1,0,19,0.5065655197079464
2018-07-06,Amazon Video,6.41,1,Movies & DVDs,4,7,0,1,0,15,-0.5447281687157316
2018-07-06,Biweekly Paycheck,2000.0,0,Paycheck,4,7,1,0,0,17,9.633740989190928
2018-07-08,Credit Card Payment,259.87,0,Credit Card Payment,6,7,0,1,0,3,0.7493367055879228
2018-07-09,Credit Card Payment,242.16,0,Credit Card Payment,0,7,0,0,1,3,0.6589165646429304
2018-07-09,Credit Card Payment,259.87,1,Credit Card Payment,0,7,1,0,0,3,0.7493367055879228
2018-07-09,Spotify,10.69,1,Music,0,7,0,1,0,16,-0.5228762091875234
2018-07-10,Credit Card Payment,242.16,1,Credit Card Payment,1,7,1,0,0,3,0.6589165646429304
2018-07-10,Grocery Store,5.39,1,Groceries,1,7,0,0,1,9,-0.5499358786967532
2018-07-10,Gas Company,30.0,1,Utilities,1,7,1,0,0,21,-0.4242871114095562
2018-07-11,Phone Company,89.46,1,Mobile Phone,2,7,1,0,0,13,-0.12070825310412235
2018-07-14,Go Mart,33.51,1,Gas & Fuel,5,7,0,0,1,8,-0.4063664623572173
2018-07-15,Circle K,36.24,1,Gas & Fuel,6,7,0,1,0,8,-0.39242817976095373
2018-07-17,Wendy's,15.23,1,Fast Food,1,7,0,0,1,6,-0.4996967941739568
2018-07-17,City Water Charges,35.0,1,Utilities,1,7,1,0,0,21,-0.3987591213065093
2018-07-17,Power Company,60.0,1,Utilities,1,7,1,0,0,21,-0.27111917079127473
2018-07-18,Irish Restaurant,28.54,1,Alcohol & Bars,2,7,0,1,0,0,-0.4317412845196459
2018-07-18,State Farm,75.0,1,Auto Insurance,2,7,1,0,0,1,-0.194535200482134
2018-07-20,Credit Card Payment,61.43,0,Credit Card Payment,4,7,0,0,1,3,-0.2638181656218033
2018-07-20,Credit Card Payment,102.88,0,Credit Card Payment,4,7,0,1,0,3,-0.05219112766754442
2018-07-20,Credit Card Payment,102.88,1,Credit Card Payment,4,7,1,0,0,3,-0.05219112766754442
2018-07-20,Biweekly Paycheck,2000.0,0,Paycheck,4,7,1,0,0,17,9.633740989190928
2018-07-21,Grocery Store,28.93,1,Groceries,5,7,0,1,0,9,-0.4297501012916083
2018-07-21,Barbershop,30.0,1,Haircut,5,7,0,1,0,10,-0.4242871114095562
2018-07-23,Credit Card Payment,61.43,1,Credit Card Payment,0,7,1,0,0,3,-0.2638181656218033
2018-07-23,Starbucks,9.58,1,Fast Food,0,7,0,1,0,6,-0.5285434229903998
2018-07-24,American Tavern,26.59,1,Restaurants,1,7,0,1,0,18,-0.4416972006598342
2018-07-25,Internet Service Provider,74.99,1,Internet,2,7,1,0,0,12,-0.19458625646234012
2018-07-26,Conoco,33.67,1,Gas & Fuel,3,7,0,0,1,8,-0.4055495666739198
2018-07-28,Grocery Store,7.61,1,Groceries,5,7,0,0,1,9,-0.5386014510910003
2018-07-30,American Tavern,34.38,1,Restaurants,0,7,0,0,1,18,-0.4019245920792871
2018-07-31,Brewing Company,6.6,1,Alcohol & Bars,1,7,0,0,1,0,-0.5437581050918158
2018-08-01,Amazon,13.13,1,Shopping,2,8,0,1,0,19,-0.5104185500172366
2018-08-02,Credit Card Payment,816.27,0,Credit Card Payment,3,8,0,1,0,3,3.590091444254983
2018-08-02,Shell,40.44,1,Gas & Fuel,3,8,0,0,1,8,-0.3709846680743943
2018-08-02,Mortgage Payment,1247.44,1,Mortgage & Rent,3,8,1,0,0,14,5.791472142801131
2018-08-03,Grocery Store,6.27,1,Groceries,4,8,0,0,1,9,-0.545442952438617
2018-08-03,Biweekly Paycheck,2000.0,0,Paycheck,4,8,1,0,0,17,9.633740989190928
